Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Fake news game confers psychological resistance against online misinformation,"Roozenbeek, J; van der Linden, S","The spread of online misinformation poses serious challenges to societies worldwide. In a novel attempt to address this issue, we designed a psychological intervention in the form of an online browser game. In the game, players take on the role of a fake news producer and learn to master six documented techniques commonly used in the production of misinformation: polarisation, invoking emotions, spreading conspiracy theories, trolling people online, deflecting blame, and impersonating fake accounts. The game draws on an inoculation metaphor, where preemptively exposing, warning, and familiarising people with the strategies used in the production of fake news helps confer cognitive immunity when exposed to real misinformation. We conducted a large-scale evaluation of the game with N = 15,000 participants in a pre-post gameplay design. We provide initial evidence that people's ability to spot and resist misinformation improves after gameplay, irrespective of education, age, political ideology, and cognitive style.",2019,2019 Jun 25,PALGRAVE COMMUNICATIONS,5,,,,10.1057/s41599-019-0279-9,,#6,Roozenbeek 2019,,Demo - University; Intervention-based Individual; Intervention-lab; Theory-Inoculation; Topic - Game
A systematic literature review of the motivations to share fake news on social media platforms and how to fight them,"Melchior, C; Oliveira, M","This review aims (a) to investigate the motivations to share fake news on Social Media Platforms (SMPs) according to the Self-Determination Theory (SDT); (b) to identify the solutions to fight these motivations and the agents in charge of implementing them; and (c) the user's role in this process. We reviewed 64 journal articles published up to April 2022. Misinformation belief and entertainment stood out as the most cited intrinsic motivations, while self-promotion, conspiracy theory, and political ideology were the most cited extrinsic motivations in the reviewed literature. The main solutions to fight fake news spreading on SMPs are improving users' digital literacy, refining interventions, rating headlines, and sources, and promoting users' engagement to consume content sustainably. These interventions should be adopted by four agents: governments, SMPs, civil society, and private health organizations. However, the role of SMP users themselves is critical in this process.",2024,2024 Feb,NEW MEDIA & SOCIETY,26,2,1127-1150,,10.1177/14614448231174224,,#21,Melchior 2024,,Review (Intervention)
Gamifying fake news: Engaging youth in the participatory design of news literacy games,"Literate, I; Chang, YK; Hsu, SY","This article discusses the potential of participatory game design to encourage and capture youth reflection, discussion, and participation around news literacy topics. Based on data obtained during a game design workshop with youth participants, we analyze two youth-produced games about fake news and discuss the personal, social, and cultural dimensions of youth attitudes and practices in relation to news literacy, as manifested through the process of game design. Our findings paint a rich picture of the ways in which youth understand and engage with fake news, their attitudes toward news literacy, and their playful approaches to collaboratively designing and prototyping news literacy games. This research sheds light on the opportunities and challenges related to the use of games and participatory game design for news literacy research and education, while also contributing to our understanding of the emerging processes that can support youth's roles as designers, and not only consumers, of educational games about the news.",2020,2020 Jun,CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,26,3,503-516,,10.1177/1354856520925732,,#39,Literate 2020,,Demo - Youth; Intervention-Field; Intervention-based Social; Topic - Game
"Literacy Concepts as an Intervention Strategy for Improving Fake News Knowledge, Detection Skills, and Curtailing the Tendency to Share Fake News in Nigeria","Apuke, OD; Omar, B; Tunca, EA","This study examined the role of literacy concepts (information, news, media, and digital literacies), as an intervention strategy, in improving fake news knowledge, detection skills, and curtailing the tendency to share fake news among social media users. In doing so, this study used the inoculation theory and message interpretation process (MIP) theory to provide a useful explanation for literacy concept intervention. An experiment was carried out to test the effects of literacy intervention on the treatment group which were later compared with the results deduced from the control group who did not receive any intervention. It was found that participants in the experimental group demonstrated a higher knowledge of fake news, better ability to detect fake news and shared more accurate news articles, as compared to their counterparts who were in the control group. Implications for research and practice were discussed.",2023,2023 Jan 2,CHILD & YOUTH SERVICES,44,1,88-103,,10.1080/0145935X.2021.2024758,,#43,Apuke 2023,,Demo - University; Intervention-lab; Non US
Playing an Augmented Reality Escape Game Promotes Learning About Fake News,"Buchner, J","The spread of fake news poses a global challenge to society, as this deliberately false information reduce trust in democracy, manipulate opinions, and negatively affect people's health. Educational research and practice must address this issue by developing and evaluating solutions to counter fake news. A promising approach in this regard is the use of game-based learning environments. In this study, we focus on Escape Fake, an augmented reality (AR) escape game developed for use in media literacy education. To date, there is limited research on the effectiveness of the game for learning about fake news. To overcome this gap, we conducted a field study using a pretest-posttest research design. A total of 28 students (14 girls, mean age = 14.71 years) participated. The results show that Escape Fake can address four learning objectives relevant in fake news detection with educationally desired effect sizes: Knowledge acquisition (d = 1.34), ability to discern information (d = 0.39), critical attitude toward trustworthiness of online information (d = 0.53), and confidence in recognizing fake news in the future (d = 0.41). Based on these results, the game can be recommended as an educational resource for media literacy education. Future research directions are also discussed.",2024,2024 Jun 19,TECHNOLOGY KNOWLEDGE AND LEARNING,,,,,10.1007/s10758-024-09749-y,,#51,Buchner 2024,,Demo - Youth; Intervention-based Individual; Intervention-lab; Topic - Game
"Combating fake news, disinformation, and misinformation: Experimental evidence for media literacy education","Adjin-Tettey, TD","This study investigated the effect of media and information literacy (MIL) on the ability to identify fake news, disinformation and misinformation, and sharing intentions. The experimental approach was selected to study both the control group and experimental group made up of a total of 187 respondents. Comparative analysis of the two groups revealed that although more respondents in the experimental group were able to identify the inauthenticity of information presented to them, some of the respondents in the control group were also able to do the same, even though they did not receive MIL training. Conversely, some respondents in the experimental group, even though they were trained in MIL, could not determine the inauthenticity of information, possibly because the one-off training given to them did not allow them to assimilate all the information in one sitting. Nonetheless, the results of the bivariate correlation computation showed that MIL trained respondents were more likely to determine authenticity or otherwise of information and less likely to share inaccurate stories. This means that when MIL increases, sharing of fake news decreases. This is yet another evidence that MIL enables information consumers to make informed judgments about quality information. It is recommended that MIL is incorporated into mainstream educational modules and consistently revised to reflect the demands of the times. MIL programs must also consider how to effectively reach those without formal education. Actors within the information, communications, and media ecology must contribute to their quota in making information consumers more discerning with the right MIL sensitisation.",2022,2022 Dec 31,COGENT ARTS & HUMANITIES,9,1,,,10.1080/23311983.2022.2037229,,#53,Adjin-Tettey 2022,,Intervention-based Individual; Intervention-lab; Non US
The effectiveness of using audio-visual based media intervention for promoting social media literacy skills to curtail fake news on social media: A quasi-experimental investigation,"Zhao, HX; Xu, J; Iyendo, TO; Apuke, OD; Tunca, EA; Gever, VC","This study experimented the effectiveness of using audio-visual-based media intervention for promoting social media literacy skills to curb fake news. We carried out a quasi-experiment in one public university's faculty of communication and media studies. We randomly divided participants into three groups, including the control group (N = 235), audio-visual media-based group (N = 118) and non-audio-visual media-based group (N = 117). The experimental groups were exposed to 8 weeks of training to improve their social media literacy skills to fight fake news. The study showed that participants exposed to social media literacy skills through audio-visual-based intervention reported better social media knowledge, demonstrated a better ability to spot fake news, and the inclination to share accurate news from the list of fake news, compared to the non-audio-visual based intervention group and the control group. Overall, social media literacy skills were found to be impactful in fighting fake news. We recommend relevant authorities and organisations to intensify their efforts to improve the public's social media literacy to help halt the spread of misleading information. Audio-visual-based intervention should be employed to educate social media literacy, to boost the effectiveness of programmes to combat fake news.",2023,2023 Dec 21,INFORMATION DEVELOPMENT,,,,,10.1177/02666669231217236,,#56,Zhao 2023,,Demo - University; Intervention-lab
Do You Know What Fake News Is? An Exploration of and Intervention to Increase Youth's Fake News Literacy,"Tamboer, SL; Vlaanderen, A; Bevelander, KE; Kleemans, M","Youth should be correctly informed about what is happening in the world, but research on empowering people to identify fake news rarely targets youth. To take the first steps in increasing their fake news literacy, this study (N = 298) qualitatively looks into youth's (10-12 years old) fake news knowledge and quantitatively tests a fake news e-learning intervention (i.e., an online lesson in which youth learn about fake news and possible solutions). Our investigation of youth's fake news knowledge showed that, before participating in the intervention, youth already had some knowledge of what fake news is and were aware of its problem. The intervention aimed to increase youth's knowledge, awareness, and self-efficacy toward fake news. Although it did not increase youth's knowledge or awareness of fake news, it successfully stimulated their self-efficacy in identifying fake news.",2024,2024 May,YOUTH & SOCIETY,56,4,774-792,,10.1177/0044118X231205930,,#61,Tamboer 2024,,Demo - Youth; Intervention Formal (classroom); Intervention-based Individual; Non US
Fostering the truthful individual Communicating media literacy in the comic Bamse,"Abalo, E; Nilsson, J","This study examines the construction of media literacy in a special issue on source criticism of the Swedish children's comic Bamse - Varldens Starkaste Bjorn [Bamse - The World's Strongest Bear]. This is done with the purpose of understanding what values, perspectives, and practices are promoted when media literacy is communicated via children's edutainment media. Using narrative and discourse analysis, we problematise how notions of truth (such as post-truth) guide much of the discourse on digital media in today's post-political society, and how that and individualisation shape notions of media literacy. This is visible in the analysed case in how source criticism is constructed in relation to notions of truth and falsehood, and as moral lessons aimed at the individual media user. We argue that such an individualised, decontextualised, and depoliticised take on media literacy is problematic and an expression of neoliberalism and a middle-class gaze.",2021,2021 Jan,NORDICOM REVIEW,42,1,109-123,,10.2478/nor-2021-0032,,#68,Abalo 2021,,Demo - Youth; Intervention Formal (classroom); Non US; Topic - Conceptual
Fighting cheapfakes: using a digital media literacy intervention to motivate reverse search of out-of-context visual misinformation,"Qian, SJ; Shen, CH; Zhang, JW","As a significant source of misinformation, out-of-context visual misinformation refers to visuals presented in an unrelated context. This study explores whether a digital media literacy intervention that features reverse image search tools has significant effects on participants' message credibility judgment, discernment of visual misinformation, and intention of using reverse image search tools. Data were collected from a pre-registered, web-based, between-subjects experiment (N = 905). Results revealed a significant difference on intention of using reverse search tools among three experimental conditions: active intervention that involved both knowledge and behavior, passive intervention that involved knowledge only, and a control condition. Specifically, active intervention significantly increased intention of using reverse search tools, compared to the passive intervention and the control. Neither active nor passive intervention had an effect on credibility judgment or misinformation discernment. We discuss the implications for future digital media intervention designs and journalism practice that aim to combat visual misinformation.
 Lay Summary
 Social media platforms have become a fertile ground for producing and disseminating visual misinformation. One specific form of visual misinformation involves images that are presented in a false context. We designed a digital media literacy intervention that motivates and teaches users to reverse search news images when they encounter news posts on social media. We ran an online experiment comparing three groups, namely active intervention that involved providing information and instructing a reverse search practice, passive intervention that only involved providing information, and a control group where participants read irrelevant information. We found that active intervention increased individuals' motivation to use reverse image search in the future compared to passive intervention and the control group. The intervention did not have an impact on the evaluation of message credibility and misinformation discernment. Our findings suggest the potential of using a brief digital media literacy intervention to motivate future image verification practices among social media users. Social media platforms are recommended to empower users with digital literacy interventions to foster critical media consumption habits.",2023,2023 Jan,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,28,1,,,10.1093/jcmc/zmac024,,#69,Qian 2023,Chris Coward (2024-08-12 19:17:49)(Select): Reverse image search;,Intervention-based Individual; Intervention-lab
